Timestamp,Date,"Vwap (ETCUSD)",Volume
1519714800,"2018-02-27 07:00:00",35.5098445,20697.27279898
1519711200,"2018-02-27 06:00:00",35.30163066,12071.12644998
1519707600,"2018-02-27 05:00:00",35.43227351,19443.70161579
1519704000,"2018-02-27 04:00:00",35.04949504,9937.79561506
1519700400,"2018-02-27 03:00:00",34.85710904,14601.00205662
1519696800,"2018-02-27 02:00:00",35.08542751,25667.85896657
1519693200,"2018-02-27 01:00:00",35.15822943,24415.09684978
1519689600,"2018-02-27 00:00:00",35.23810901,11645.61454072
1519686000,"2018-02-26 23:00:00",35.47231715,13854.55721733
1519682400,"2018-02-26 22:00:00",35.90341519,27484.21855066
1519678800,"2018-02-26 21:00:00",35.60682068,19115.21128356
1519675200,"2018-02-26 20:00:00",35.73112911,18837.06078497
1519671600,"2018-02-26 19:00:00",35.52911277,24373.72920359
1519668000,"2018-02-26 18:00:00",35.12955707,16485.19339227
1519664400,"2018-02-26 17:00:00",35.71181588,51175.21882926
1519660800,"2018-02-26 16:00:00",35.9087755,109184.51922211
1519657200,"2018-02-26 15:00:00",35.1258984,73389.41652011
1519653600,"2018-02-26 14:00:00",35.29696255,99866.70363804
1519650000,"2018-02-26 13:00:00",34.26357803,22966.86672889
1519646400,"2018-02-26 12:00:00",34.43505329,28471.94896005
1519642800,"2018-02-26 11:00:00",34.15528069,21168.41928788
1519639200,"2018-02-26 10:00:00",33.92577429,19681.01153574
1519635600,"2018-02-26 09:00:00",33.81882887,34817.03271112
1519632000,"2018-02-26 08:00:00",33.65676745,29405.31049753
1519628400,"2018-02-26 07:00:00",33.77065046,32749.85140096
1519624800,"2018-02-26 06:00:00",34.28416316,25421.05610046
1519621200,"2018-02-26 05:00:00",34.5224959,15242.85059873
1519617600,"2018-02-26 04:00:00",34.73221747,25893.63976242
1519614000,"2018-02-26 03:00:00",35.27141828,30397.15380744
1519610400,"2018-02-26 02:00:00",35.3950984,22136.0212441
1519606800,"2018-02-26 01:00:00",35.34312949,25040.47799482
1519603200,"2018-02-26 00:00:00",35.23757689,47627.63971543
1519599600,"2018-02-25 23:00:00",35.31896866,38154.54442971
1519596000,"2018-02-25 22:00:00",34.84428349,36010.78269425
1519592400,"2018-02-25 21:00:00",34.58142876,30923.34180144
1519588800,"2018-02-25 20:00:00",34.59426047,30247.56077368
1519585200,"2018-02-25 19:00:00",33.90183832,32930.81802659
1519581600,"2018-02-25 18:00:00",33.77816201,64619.75149443
1519578000,"2018-02-25 17:00:00",34.35116418,31519.74842568
1519574400,"2018-02-25 16:00:00",33.89832713,53726.9297054
1519570800,"2018-02-25 15:00:00",34.07640552,64795.67223081
1519567200,"2018-02-25 14:00:00",34.15774957,85722.43936527
1519563600,"2018-02-25 13:00:00",34.88516135,50890.93669599
1519560000,"2018-02-25 12:00:00",35.60563038,21896.7734179
1519556400,"2018-02-25 11:00:00",35.54000818,28727.21495531
1519552800,"2018-02-25 10:00:00",35.45796076,23676.575648
1519549200,"2018-02-25 09:00:00",35.80406499,24270.89626875
1519545600,"2018-02-25 08:00:00",36.16642235,20985.45103273
1519542000,"2018-02-25 07:00:00",36.26367695,28296.36099027
1519538400,"2018-02-25 06:00:00",35.9469933,21783.57362443
1519534800,"2018-02-25 05:00:00",36.07027624,22264.67628246
1519531200,"2018-02-25 04:00:00",35.46174464,48171.00450862
1519527600,"2018-02-25 03:00:00",36.14244885,30333.42601967
1519524000,"2018-02-25 02:00:00",36.66082223,31007.19979281
1519520400,"2018-02-25 01:00:00",36.15779963,26695.55619089
1519516800,"2018-02-25 00:00:00",36.49450023,28998.19012625
1519513200,"2018-02-24 23:00:00",35.98843316,56380.98486451
1519509600,"2018-02-24 22:00:00",35.24556249,56787.61827628
1519506000,"2018-02-24 21:00:00",34.88073245,108350.40072418
1519502400,"2018-02-24 20:00:00",35.66695597,42030.78352652
1519498800,"2018-02-24 19:00:00",35.99611988,54615.5216325
1519495200,"2018-02-24 18:00:00",36.64056261,55206.25226166
1519491600,"2018-02-24 17:00:00",36.97473821,85498.72164471
1519488000,"2018-02-24 16:00:00",36.83108912,64895.58448038
1519484400,"2018-02-24 15:00:00",36.42923043,59851.52876266
1519480800,"2018-02-24 14:00:00",35.79025577,99360.68696366
1519477200,"2018-02-24 13:00:00",36.00896577,57241.6856779
1519473600,"2018-02-24 12:00:00",35.56918405,78823.59627912
1519470000,"2018-02-24 11:00:00",35.4959111,146329.53889317
1519466400,"2018-02-24 10:00:00",36.84862836,44044.3074571
1519462800,"2018-02-24 09:00:00",36.65882465,85681.02110077
1519459200,"2018-02-24 08:00:00",36.36097979,172343.94743342
1519455600,"2018-02-24 07:00:00",36.9154452,129870.56697285
1519452000,"2018-02-24 06:00:00",38.04566962,45782.19480285
1519448400,"2018-02-24 05:00:00",38.41081788,70285.98624081
1519444800,"2018-02-24 04:00:00",37.97452445,69475.22831506
1519441200,"2018-02-24 03:00:00",38.11699789,74419.02927412
1519437600,"2018-02-24 02:00:00",37.05848143,46492.94521733
1519434000,"2018-02-24 01:00:00",36.85249812,95389.23359644
1519430400,"2018-02-24 00:00:00",35.98942332,55433.89683523
1519426800,"2018-02-23 23:00:00",35.28770662,64542.83052201
1519423200,"2018-02-23 22:00:00",34.22687642,25131.11173323
1519419600,"2018-02-23 21:00:00",33.96875288,67666.23961775
1519416000,"2018-02-23 20:00:00",34.78471549,47243.96915352
1519412400,"2018-02-23 19:00:00",35.18906967,60981.12710447
1519408800,"2018-02-23 18:00:00",34.36372325,42686.82944188
1519405200,"2018-02-23 17:00:00",34.50556859,95754.1203972
1519401600,"2018-02-23 16:00:00",35.63268368,75549.33286775
1519398000,"2018-02-23 15:00:00",36.24677252,111889.73765721
1519394400,"2018-02-23 14:00:00",35.60963484,34793.97528886
1519390800,"2018-02-23 13:00:00",35.54815787,54242.60074003
1519387200,"2018-02-23 12:00:00",35.56067709,93055.44541891
1519383600,"2018-02-23 11:00:00",35.18745986,140750.51145553
1519380000,"2018-02-23 10:00:00",35.45486458,257476.34385424
1519376400,"2018-02-23 09:00:00",33.43325444,52784.83030984
1519372800,"2018-02-23 08:00:00",32.92853618,37313.00001118
1519369200,"2018-02-23 07:00:00",32.35455058,54143.15229122
1519365600,"2018-02-23 06:00:00",33.09098588,78813.93600259
1519362000,"2018-02-23 05:00:00",33.08675686,101903.26365613
1519358400,"2018-02-23 04:00:00",31.76831832,35704.76201573
1519354800,"2018-02-23 03:00:00",30.95259661,38785.85258699
1519351200,"2018-02-23 02:00:00",30.40404723,33329.05857342
1519347600,"2018-02-23 01:00:00",30.7930965,81842.37448418
1519344000,"2018-02-23 00:00:00",31.49758884,17618.02820325
1519340400,"2018-02-22 23:00:00",31.3650455,39419.80771994
1519336800,"2018-02-22 22:00:00",31.70994601,54228.48995239
1519333200,"2018-02-22 21:00:00",31.51105358,19243.445126
1519329600,"2018-02-22 20:00:00",31.15336022,43814.0184758
1519326000,"2018-02-22 19:00:00",31.15720191,29714.37090072
1519322400,"2018-02-22 18:00:00",30.96198351,98364.18519218
1519318800,"2018-02-22 17:00:00",31.66263564,62358.55136047
1519315200,"2018-02-22 16:00:00",31.72162563,112480.02349527
1519311600,"2018-02-22 15:00:00",30.94010337,109249.58702502
1519308000,"2018-02-22 14:00:00",30.62675405,220041.66810071
1519304400,"2018-02-22 13:00:00",31.8754394,168169.28418641
1519300800,"2018-02-22 12:00:00",32.95679045,64528.27774744
1519297200,"2018-02-22 11:00:00",32.59720423,242607.66918799
1519293600,"2018-02-22 10:00:00",33.70302299,92950.74443159
1519290000,"2018-02-22 09:00:00",33.88747116,147701.59837038
1519286400,"2018-02-22 08:00:00",34.70339781,61154.7629283
1519282800,"2018-02-22 07:00:00",35.65184999,40083.81646946
1519279200,"2018-02-22 06:00:00",35.53586783,30705.60683132
1519275600,"2018-02-22 05:00:00",34.98879747,21240.90561337
1519272000,"2018-02-22 04:00:00",35.2894382,20106.12069304
1519268400,"2018-02-22 03:00:00",35.504511,48043.65760652
1519264800,"2018-02-22 02:00:00",35.11308009,45269.8281075
1519261200,"2018-02-22 01:00:00",34.09090312,37711.84208287
1519257600,"2018-02-22 00:00:00",34.98471159,84564.54162322
1519254000,"2018-02-21 23:00:00",33.94785261,56026.45937173
1519250400,"2018-02-21 22:00:00",33.40256972,43200.13454786
1519246800,"2018-02-21 21:00:00",33.34595852,100153.84609791
1519243200,"2018-02-21 20:00:00",34.21047324,73889.61457747
1519239600,"2018-02-21 19:00:00",34.76177812,89348.58520769
1519236000,"2018-02-21 18:00:00",33.81381616,45166.40832206
1519232400,"2018-02-21 17:00:00",33.97063489,107411.39631381
1519228800,"2018-02-21 16:00:00",34.49959339,91548.79727975
1519225200,"2018-02-21 15:00:00",34.62832921,120490.54833227
1519221600,"2018-02-21 14:00:00",35.60863194,92239.35092792
1519218000,"2018-02-21 13:00:00",36.38462063,33107.1067664
1519214400,"2018-02-21 12:00:00",36.59892328,30558.85703501
1519210800,"2018-02-21 11:00:00",36.4047073,78048.67885769
1519207200,"2018-02-21 10:00:00",36.94426877,57684.68928187
1519203600,"2018-02-21 09:00:00",36.70619022,50189.5291825
1519200000,"2018-02-21 08:00:00",37.47779722,27029.89066646
1519196400,"2018-02-21 07:00:00",37.2707011,74304.52651589
1519192800,"2018-02-21 06:00:00",36.22867055,37924.78164575
1519189200,"2018-02-21 05:00:00",35.74820744,98353.05196355
1519185600,"2018-02-21 04:00:00",37.0704687,52738.33962943
1519182000,"2018-02-21 03:00:00",36.96349658,75246.90882893
1519178400,"2018-02-21 02:00:00",37.39466026,151316.77267506
1519174800,"2018-02-21 01:00:00",35.39028155,191428.20157136
1519171200,"2018-02-21 00:00:00",36.56353411,149459.45937522
1519167600,"2018-02-20 23:00:00",37.70288535,165926.61886912
1519164000,"2018-02-20 22:00:00",39.03970481,31963.52830819
1519160400,"2018-02-20 21:00:00",39.2367475,21767.97492398
1519156800,"2018-02-20 20:00:00",39.25655337,86970.93445304
1519153200,"2018-02-20 19:00:00",39.08745195,61163.78158649
1519149600,"2018-02-20 18:00:00",39.27463689,82378.46303326
1519146000,"2018-02-20 17:00:00",40.22635371,48414.76707284
1519142400,"2018-02-20 16:00:00",39.99203519,72714.79621815
1519138800,"2018-02-20 15:00:00",40.35417959,43709.49671071
1519135200,"2018-02-20 14:00:00",40.85907942,51504.0289322
1519131600,"2018-02-20 13:00:00",41.03253361,60406.82403444
